timestamp_utc,state,fueltype,fuel_name,forecast_mwh,share,emissions_kg_co2,respondent
2025-09-29 01:00:00+00:00,Arizona,COL,Coal,891.25,0.26082821188176764,888267.3443929349,AZPS
2025-09-29 01:00:00+00:00,Arizona,NG,Natural Gas,1538.0,0.45010242903131403,242790.45634925543,AZPS
2025-09-29 01:00:00+00:00,Arizona,NUC,Nuclear,0.0,0.0,0.0,AZPS
2025-09-29 01:00:00+00:00,Arizona,OIL,Petroleum,0.0,0.0,0.0,AZPS
2025-09-29 01:00:00+00:00,Arizona,OTH,Other,31.25,0.009145449224465906,0.0,AZPS
2025-09-29 01:00:00+00:00,Arizona,PET,Petroleum,0.0,0.0,0.0,AZPS
2025-09-29 01:00:00+00:00,Arizona,SUN,Solar,832.75,0.24370793093356746,0.0,AZPS
2025-09-29 01:00:00+00:00,Arizona,WAT,Hydro,0.0,0.0,0.0,AZPS
2025-09-29 01:00:00+00:00,Arizona,WND,Wind,123.75,0.036215978928884986,0.0,AZPS
2025-09-29 02:00:00+00:00,Arizona,COL,Coal,891.7639249745765,0.30721542965386606,888779.549467139,AZPS
2025-09-29 02:00:00+00:00,Arizona,NG,Natural Gas,1671.807425491856,0.5759428276218358,263913.45108143147,AZPS
2025-09-29 02:00:00+00:00,Arizona,NUC,Nuclear,0.0,0.0,0.0,AZPS
2025-09-29 02:00:00+00:00,Arizona,OIL,Petroleum,0.0,0.0,0.0,AZPS
2025-09-29 02:00:00+00:00,Arizona,OTH,Other,30.741861763417294,0.010590666437058723,0.0,AZPS
2025-09-29 02:00:00+00:00,Arizona,PET,Petroleum,0.0,0.0,0.0,AZPS
2025-09-29 02:00:00+00:00,Arizona,SUN,Solar,205.44561276039852,0.07077664887205098,0.0,AZPS
2025-09-29 02:00:00+00:00,Arizona,WAT,Hydro,0.0,0.0,0.0,AZPS
2025-09-29 02:00:00+00:00,Arizona,WND,Wind,102.9727402156742,0.03547442741518857,0.0,AZPS
2025-09-29 03:00:00+00:00,Arizona,COL,Coal,890.7783093629382,0.31365475980995944,887797.2323148896,AZPS
2025-09-29 03:00:00+00:00,Arizona,NG,Natural Gas,1693.103457010735,0.5961639978884391,267275.2672133539,AZPS
2025-09-29 03:00:00+00:00,Arizona,NUC,Nuclear,0.0,0.0,0.0,AZPS
2025-09-29 03:00:00+00:00,Arizona,OIL,Petroleum,0.0,0.0,0.0,AZPS
2025-09-29 03:00:00+00:00,Arizona,OTH,Other,31.23346105760653,0.01099771247580503,0.0,AZPS
2025-09-29 03:00:00+00:00,Arizona,PET,Petroleum,0.0,0.0,0.0,AZPS
2025-09-29 03:00:00+00:00,Arizona,SUN,Solar,102.44575226894942,0.036072496920640504,0.0,AZPS
2025-09-29 03:00:00+00:00,Arizona,WAT,Hydro,0.0,0.0,0.0,AZPS
2025-09-29 03:00:00+00:00,Arizona,WND,Wind,122.4351673458176,0.04311103290515572,0.0,AZPS
2025-09-29 04:00:00+00:00,Arizona,COL,Coal,890.792359226791,0.31853506029477446,887811.2351594939,AZPS
2025-09-29 04:00:00+00:00,Arizona,NG,Natural Gas,1656.6839389770269,0.5924073246985262,261526.04003297424,AZPS
2025-09-29 04:00:00+00:00,Arizona,NUC,Nuclear,0.0,0.0,0.0,AZPS
2025-09-29 04:00:00+00:00,Arizona,OIL,Petroleum,0.0,0.0,0.0,AZPS
2025-09-29 04:00:00+00:00,Arizona,OTH,Other,30.975393310185666,0.011076373380973649,0.0,AZPS
2025-09-29 04:00:00+00:00,Arizona,PET,Petroleum,0.0,0.0,0.0,AZPS
2025-09-29 04:00:00+00:00,Arizona,SUN,Solar,97.67240955066609,0.034926306386779814,0.0,AZPS
2025-09-29 04:00:00+00:00,Arizona,WAT,Hydro,0.0,0.0,0.0,AZPS
2025-09-29 04:00:00+00:00,Arizona,WND,Wind,120.40435141539912,0.04305493523894596,0.0,AZPS
2025-09-29 05:00:00+00:00,Arizona,COL,Coal,889.8073974724391,0.32015455117261205,886829.5696763335,AZPS
2025-09-29 05:00:00+00:00,Arizona,NG,Natural Gas,1607.0476011044473,0.5782190673016443,253690.39040775353,AZPS
2025-09-29 05:00:00+00:00,Arizona,NUC,Nuclear,0.0,0.0,0.0,AZPS
2025-09-29 05:00:00+00:00,Arizona,OIL,Petroleum,0.0,0.0,0.0,AZPS
2025-09-29 05:00:00+00:00,Arizona,OTH,Other,30.217989080596446,0.010872495282595021,0.0,AZPS
2025-09-29 05:00:00+00:00,Arizona,PET,Petroleum,0.0,0.0,0.0,AZPS
2025-09-29 05:00:00+00:00,Arizona,SUN,Solar,99.64444333188415,0.03585227783268937,0.0,AZPS
2025-09-29 05:00:00+00:00,Arizona,WAT,Hydro,0.0,0.0,0.0,AZPS
2025-09-29 05:00:00+00:00,Arizona,WND,Wind,152.5883580846647,0.05490160841045916,0.0,AZPS
2025-09-29 06:00:00+00:00,Arizona,COL,Coal,890.3209107943495,0.3225397973950796,887341.3644755074,AZPS
2025-09-29 06:00:00+00:00,Arizona,NG,Natural Gas,1612.3646780454035,0.5841172214182344,254529.7503147359,AZPS
2025-09-29 06:00:00+00:00,Arizona,NUC,Nuclear,0.0,0.0,0.0,AZPS
2025-09-29 06:00:00+00:00,Arizona,OIL,Petroleum,0.0,0.0,0.0,AZPS
2025-09-29 06:00:00+00:00,Arizona,OTH,Other,30.70933034988923,0.011125180897250361,0.0,AZPS
2025-09-29 06:00:00+00:00,Arizona,PET,Petroleum,0.0,0.0,0.0,AZPS
